SIM CODE  	DATE      	MIN TMP        	MAX TMP        	AVG TMP        	REFERENCE ET   	PRECIPITATION  
-         	YYYY-MM-DD	C              	C              	C              	mm/day         	mm             
SS_sorghum	2001-01-01	22.33          	38.21          	30.27          	7.574          	0.00           
SS_sorghum	2001-01-02	21.45          	38.91          	30.18          	7.645          	0.00           
SS_sorghum	2001-01-03	20.50          	38.25          	29.38          	7.809          	0.00           
SS_sorghum	2001-01-04	19.78          	36.94          	28.36          	8.192          	0.00           
SS_sorghum	2001-01-05	19.10          	36.82          	27.96          	8.102          	0.00           
SS_sorghum	2001-01-06	18.38          	35.86          	27.12          	8.127          	0.00           
SS_sorghum	2001-01-07	17.60          	35.73          	26.66          	8.164          	0.00           
SS_sorghum	2001-01-08	17.74          	35.25          	26.49          	7.899          	0.00           
SS_sorghum	2001-01-09	17.24          	35.06          	26.15          	7.943          	0.00           
SS_sorghum	2001-01-10	18.33          	34.67          	26.50          	7.553          	0.00           
SS_sorghum	2001-01-11	18.84          	35.88          	27.36          	7.191          	0.00           
SS_sorghum	2001-01-12	20.26          	36.34          	28.30          	6.853          	0.00           
SS_sorghum	2001-01-13	21.86          	35.92          	28.89          	6.571          	0.00           
SS_sorghum	2001-01-14	21.53          	36.39          	28.96          	7.641          	0.00           
SS_sorghum	2001-01-15	21.94          	37.33          	29.63          	7.396          	0.00           
SS_sorghum	2001-01-16	22.85          	37.99          	30.42          	7.576          	0.00           
SS_sorghum	2001-01-17	22.30          	39.60          	30.95          	8.519          	0.00           
SS_sorghum	2001-01-18	22.45          	39.64          	31.05          	8.121          	0.00           
SS_sorghum	2001-01-19	21.72          	39.00          	30.36          	8.371          	0.00           
SS_sorghum	2001-01-20	24.10          	38.22          	31.16          	7.719          	0.00           
SS_sorghum	2001-01-21	23.87          	37.15          	30.51          	8.015          	0.00           
SS_sorghum	2001-01-22	22.32          	37.51          	29.91          	8.473          	0.00           
SS_sorghum	2001-01-23	22.96          	36.25          	29.61          	6.743          	0.00           
SS_sorghum	2001-01-24	21.23          	35.34          	28.29          	8.430          	0.00           
SS_sorghum	2001-01-25	19.62          	35.79          	27.70          	8.054          	0.00           
SS_sorghum	2001-01-26	19.38          	35.62          	27.50          	8.140          	0.00           
SS_sorghum	2001-01-27	19.11          	36.39          	27.75          	8.539          	0.00           
SS_sorghum	2001-01-28	18.87          	37.20          	28.04          	8.423          	0.00           
SS_sorghum	2001-01-29	19.47          	38.03          	28.75          	8.972          	0.00           
SS_sorghum	2001-01-30	20.12          	39.09          	29.61          	8.235          	0.00           
SS_sorghum	2001-01-31	22.09          	37.62          	29.85          	8.232          	0.00           
SS_sorghum	2001-02-01	23.16          	39.73          	31.45          	8.529          	0.00           
SS_sorghum	2001-02-02	22.44          	39.99          	31.22          	8.556          	0.00           
SS_sorghum	2001-02-03	22.27          	40.42          	31.34          	9.071          	0.00           
SS_sorghum	2001-02-04	20.39          	40.07          	30.23          	9.246          	0.00           
SS_sorghum	2001-02-05	20.34          	37.67          	29.01          	8.507          	0.00           
SS_sorghum	2001-02-06	20.84          	37.57          	29.20          	8.157          	0.00           
SS_sorghum	2001-02-07	22.77          	37.35          	30.06          	8.582          	0.00           
SS_sorghum	2001-02-08	21.30          	38.34          	29.82          	8.765          	0.00           
SS_sorghum	2001-02-09	20.98          	37.36          	29.17          	8.632          	0.00           
SS_sorghum	2001-02-10	24.31          	36.34          	30.33          	8.673          	0.00           
SS_sorghum	2001-02-11	24.95          	34.39          	29.67          	6.356          	0.59           
SS_sorghum	2001-02-12	23.31          	35.72          	29.52          	7.605          	0.00           
SS_sorghum	2001-02-13	24.27          	36.63          	30.45          	6.609          	1.12           
SS_sorghum	2001-02-14	25.77          	38.36          	32.06          	6.636          	0.54           
SS_sorghum	2001-02-15	24.96          	37.16          	31.06          	8.312          	0.00           
SS_sorghum	2001-02-16	24.17          	38.87          	31.52          	9.140          	0.00           
SS_sorghum	2001-02-17	23.46          	38.76          	31.11          	9.953          	0.00           
SS_sorghum	2001-02-18	23.16          	38.67          	30.91          	9.576          	0.00           
SS_sorghum	2001-02-19	23.88          	38.58          	31.23          	8.829          	0.27           
SS_sorghum	2001-02-20	24.40          	38.30          	31.35          	9.324          	0.00           
SS_sorghum	2001-02-21	23.74          	39.73          	31.73          	8.115          	0.00           
SS_sorghum	2001-02-22	24.32          	39.65          	31.98          	9.097          	0.00           
SS_sorghum	2001-02-23	23.16          	38.99          	31.08          	8.792          	0.00           
SS_sorghum	2001-02-24	24.55          	39.15          	31.85          	10.210         	0.00           
SS_sorghum	2001-02-25	24.16          	38.27          	31.22          	9.190          	1.22           
SS_sorghum	2001-02-26	23.10          	40.43          	31.77          	9.312          	0.47           
SS_sorghum	2001-02-27	24.32          	41.38          	32.85          	9.990          	0.00           
SS_sorghum	2001-02-28	24.33          	41.57          	32.95          	10.552         	0.00           
SS_sorghum	2001-03-01	23.89          	40.95          	32.42          	9.750          	0.00           
SS_sorghum	2001-03-02	24.69          	41.83          	33.26          	10.348         	0.00           
SS_sorghum	2001-03-03	24.73          	42.40          	33.56          	10.060         	0.00           
SS_sorghum	2001-03-04	24.16          	40.61          	32.38          	7.451          	0.00           
SS_sorghum	2001-03-05	24.79          	40.82          	32.81          	7.881          	0.26           
SS_sorghum	2001-03-06	25.63          	40.32          	32.98          	7.719          	0.58           
SS_sorghum	2001-03-07	23.79          	35.83          	29.81          	5.427          	2.61           
SS_sorghum	2001-03-08	24.69          	36.07          	30.38          	6.371          	0.00           
SS_sorghum	2001-03-09	26.42          	37.39          	31.91          	5.524          	2.02           
SS_sorghum	2001-03-10	24.69          	35.48          	30.09          	5.056          	6.04           
SS_sorghum	2001-03-11	24.29          	36.36          	30.32          	6.761          	1.27           
SS_sorghum	2001-03-12	23.12          	36.19          	29.66          	6.530          	1.33           
SS_sorghum	2001-03-13	23.62          	35.95          	29.79          	6.124          	0.00           
SS_sorghum	2001-03-14	23.40          	37.95          	30.68          	5.559          	0.51           
SS_sorghum	2001-03-15	26.14          	38.51          	32.33          	6.873          	0.00           
SS_sorghum	2001-03-16	26.76          	38.56          	32.66          	8.027          	0.00           
SS_sorghum	2001-03-17	25.95          	37.69          	31.82          	8.393          	0.00           
SS_sorghum	2001-03-18	24.48          	39.34          	31.91          	6.979          	0.73           
SS_sorghum	2001-03-19	25.62          	37.51          	31.56          	8.766          	0.00           
SS_sorghum	2001-03-20	23.82          	41.15          	32.48          	9.241          	0.00           
SS_sorghum	2001-03-21	26.70          	36.05          	31.38          	7.173          	0.43           
SS_sorghum	2001-03-22	24.08          	38.71          	31.40          	7.231          	0.45           
SS_sorghum	2001-03-23	25.61          	34.71          	30.16          	4.740          	0.74           
SS_sorghum	2001-03-24	24.10          	38.39          	31.25          	6.855          	0.00           
SS_sorghum	2001-03-25	24.84          	39.70          	32.27          	7.311          	0.32           
SS_sorghum	2001-03-26	23.92          	38.48          	31.20          	6.630          	0.00           
SS_sorghum	2001-03-27	25.15          	39.33          	32.24          	7.901          	0.00           
SS_sorghum	2001-03-28	24.74          	38.73          	31.73          	6.355          	0.00           
SS_sorghum	2001-03-29	25.17          	31.04          	28.11          	3.730          	0.00           
SS_sorghum	2001-03-30	24.36          	38.82          	31.59          	7.236          	0.00           
SS_sorghum	2001-03-31	25.19          	41.46          	33.33          	8.732          	0.00           
SS_sorghum	2001-04-01	25.87          	40.55          	33.21          	8.426          	0.00           
SS_sorghum	2001-04-02	26.92          	36.92          	31.92          	8.058          	0.00           
SS_sorghum	2001-04-03	26.33          	35.94          	31.13          	5.648          	0.00           
SS_sorghum	2001-04-04	25.20          	39.51          	32.35          	4.539          	0.38           
SS_sorghum	2001-04-05	25.61          	34.66          	30.13          	5.628          	0.49           
SS_sorghum	2001-04-06	24.13          	34.76          	29.45          	5.663          	1.80           
SS_sorghum	2001-04-07	24.97          	34.79          	29.88          	4.402          	2.29           
SS_sorghum	2001-04-08	23.55          	35.33          	29.44          	5.272          	0.59           
SS_sorghum	2001-04-09	24.59          	37.40          	30.99          	6.709          	0.00           
SS_sorghum	2001-04-10	24.33          	38.77          	31.55          	7.128          	0.61           
SS_sorghum	2001-04-11	25.76          	37.79          	31.77          	7.432          	0.00           
SS_sorghum	2001-04-12	26.43          	34.84          	30.64          	6.527          	0.00           
SS_sorghum	2001-04-13	25.25          	37.73          	31.49          	6.882          	0.00           
SS_sorghum	2001-04-14	24.93          	38.28          	31.61          	8.806          	0.00           
SS_sorghum	2001-04-15	25.05          	36.47          	30.76          	7.838          	0.00           
SS_sorghum	2001-04-16	26.05          	39.54          	32.80          	8.278          	0.00           
SS_sorghum	2001-04-17	26.06          	39.00          	32.53          	7.685          	0.00           
SS_sorghum	2001-04-18	26.24          	39.53          	32.88          	8.634          	0.56           
SS_sorghum	2001-04-19	25.12          	40.27          	32.70          	7.440          	1.87           
SS_sorghum	2001-04-20	25.65          	38.63          	32.14          	6.972          	0.00           
SS_sorghum	2001-04-21	24.22          	38.05          	31.13          	5.957          	0.00           
SS_sorghum	2001-04-22	25.83          	34.99          	30.41          	5.829          	2.19           
SS_sorghum	2001-04-23	24.41          	30.24          	27.32          	5.078          	1.24           
SS_sorghum	2001-04-24	22.33          	38.30          	30.31          	7.569          	3.43           
SS_sorghum	2001-04-25	24.71          	36.49          	30.60          	6.730          	0.47           
SS_sorghum	2001-04-26	24.24          	35.94          	30.09          	5.120          	5.98           
SS_sorghum	2001-04-27	23.94          	34.02          	28.98          	4.860          	1.04           
SS_sorghum	2001-04-28	23.14          	37.95          	30.55          	6.982          	0.55           
SS_sorghum	2001-04-29	24.84          	35.36          	30.10          	4.856          	5.95           
SS_sorghum	2001-04-30	23.43          	36.60          	30.02          	6.229          	0.67           
SS_sorghum	2001-05-01	24.13          	38.37          	31.25          	6.318          	0.00           
SS_sorghum	2001-05-02	25.14          	36.86          	31.00          	5.949          	0.00           
SS_sorghum	2001-05-03	24.15          	36.18          	30.16          	5.902          	0.64           
SS_sorghum	2001-05-04	24.57          	34.31          	29.44          	5.477          	0.00           
SS_sorghum	2001-05-05	23.90          	39.65          	31.77          	6.612          	0.00           
SS_sorghum	2001-05-06	25.51          	38.74          	32.13          	6.949          	0.75           
SS_sorghum	2001-05-07	25.01          	38.95          	31.98          	6.691          	0.00           
SS_sorghum	2001-05-08	25.93          	33.10          	29.52          	5.250          	1.40           
SS_sorghum	2001-05-09	24.00          	35.46          	29.73          	4.983          	0.62           
SS_sorghum	2001-05-10	23.69          	36.88          	30.29          	6.642          	0.44           
SS_sorghum	2001-05-11	25.19          	37.09          	31.14          	6.257          	0.31           
SS_sorghum	2001-05-12	23.95          	37.96          	30.95          	6.880          	4.94           
SS_sorghum	2001-05-13	24.33          	36.07          	30.20          	4.604          	4.26           
SS_sorghum	2001-05-14	23.41          	32.76          	28.09          	4.842          	6.64           
SS_sorghum	2001-05-15	22.72          	31.41          	27.06          	3.316          	1.35           
SS_sorghum	2001-05-16	22.39          	36.41          	29.40          	4.912          	1.47           
SS_sorghum	2001-05-17	23.18          	35.57          	29.38          	4.945          	0.64           
SS_sorghum	2001-05-18	23.88          	34.72          	29.30          	5.828          	2.80           
SS_sorghum	2001-05-19	22.17          	34.78          	28.48          	5.024          	3.92           
SS_sorghum	2001-05-20	22.58          	34.41          	28.49          	5.844          	6.29           
SS_sorghum	2001-05-21	23.34          	37.15          	30.24          	6.500          	2.11           
SS_sorghum	2001-05-22	23.01          	35.72          	29.37          	5.494          	1.21           
SS_sorghum	2001-05-23	24.00          	32.56          	28.28          	4.346          	2.60           
SS_sorghum	2001-05-24	22.93          	35.35          	29.14          	4.461          	0.53           
SS_sorghum	2001-05-25	22.92          	35.98          	29.45          	5.543          	0.40           
SS_sorghum	2001-05-26	23.84          	34.92          	29.38          	5.113          	1.86           
SS_sorghum	2001-05-27	23.45          	34.88          	29.16          	5.179          	5.04           
SS_sorghum	2001-05-28	22.09          	28.47          	25.28          	3.564          	4.13           
SS_sorghum	2001-05-29	20.71          	34.76          	27.73          	5.273          	0.00           
SS_sorghum	2001-05-30	22.14          	35.06          	28.60          	4.895          	0.00           
SS_sorghum	2001-05-31	23.13          	33.01          	28.07          	3.958          	0.00           
SS_sorghum	2001-06-01	23.24          	33.57          	28.41          	5.295          	1.47           
SS_sorghum	2001-06-02	22.00          	28.38          	25.19          	2.650          	4.03           
SS_sorghum	2001-06-03	21.63          	29.74          	25.68          	3.531          	1.66           
SS_sorghum	2001-06-04	20.41          	32.98          	26.70          	5.213          	4.94           
SS_sorghum	2001-06-05	21.42          	36.05          	28.73          	5.160          	0.98           
SS_sorghum	2001-06-06	22.39          	35.31          	28.85          	4.733          	1.69           
SS_sorghum	2001-06-07	23.21          	34.85          	29.03          	5.935          	0.00           
SS_sorghum	2001-06-08	23.23          	31.83          	27.53          	4.475          	12.37          
SS_sorghum	2001-06-09	21.44          	31.10          	26.27          	4.171          	5.67           
SS_sorghum	2001-06-10	20.35          	33.00          	26.68          	4.899          	5.32           
SS_sorghum	2001-06-11	22.08          	31.62          	26.85          	4.788          	2.77           
SS_sorghum	2001-06-12	21.80          	29.45          	25.63          	4.418          	0.00           
SS_sorghum	2001-06-13	21.48          	31.07          	26.27          	4.697          	1.03           
SS_sorghum	2001-06-14	21.15          	32.32          	26.73          	4.111          	0.00           
SS_sorghum	2001-06-15	21.71          	31.76          	26.73          	4.269          	0.00           
SS_sorghum	2001-06-16	22.29          	32.85          	27.57          	4.582          	8.12           
SS_sorghum	2001-06-17	21.45          	30.84          	26.15          	3.780          	4.68           
SS_sorghum	2001-06-18	21.41          	31.10          	26.26          	4.270          	20.13          
SS_sorghum	2001-06-19	21.91          	31.51          	26.71          	3.971          	3.06           
SS_sorghum	2001-06-20	21.87          	31.06          	26.47          	4.339          	0.27           
SS_sorghum	2001-06-21	21.59          	30.04          	25.81          	4.485          	1.61           
SS_sorghum	2001-06-22	21.97          	34.06          	28.02          	5.155          	0.88           
SS_sorghum	2001-06-23	22.32          	34.33          	28.32          	5.097          	4.96           
SS_sorghum	2001-06-24	20.92          	35.15          	28.04          	4.607          	0.81           
SS_sorghum	2001-06-25	22.50          	31.79          	27.15          	4.270          	3.13           
SS_sorghum	2001-06-26	22.39          	33.35          	27.87          	5.173          	0.50           
SS_sorghum	2001-06-27	22.19          	34.95          	28.57          	4.884          	3.27           
SS_sorghum	2001-06-28	22.30          	31.10          	26.70          	3.481          	0.81           
SS_sorghum	2001-06-29	21.91          	33.11          	27.51          	3.010          	0.43           
SS_sorghum	2001-06-30	22.20          	34.73          	28.46          	5.657          	0.00           
SS_sorghum	2001-07-01	21.96          	34.68          	28.32          	4.975          	0.00           
SS_sorghum	2001-07-02	23.04          	35.95          	29.50          	5.298          	0.00           
SS_sorghum	2001-07-03	22.60          	36.21          	29.41          	3.381          	0.00           
SS_sorghum	2001-07-04	23.92          	31.22          	27.57          	4.300          	0.00           
SS_sorghum	2001-07-05	22.41          	34.62          	28.52          	4.179          	2.15           
SS_sorghum	2001-07-06	22.92          	33.60          	28.26          	5.121          	0.00           
SS_sorghum	2001-07-07	23.17          	32.41          	27.79          	4.702          	0.00           
SS_sorghum	2001-07-08	22.36          	33.93          	28.15          	4.477          	0.46           
SS_sorghum	2001-07-09	23.33          	32.57          	27.95          	4.472          	0.54           
SS_sorghum	2001-07-10	22.55          	28.03          	25.29          	3.131          	15.84          
SS_sorghum	2001-07-11	20.68          	33.51          	27.09          	4.645          	0.62           
SS_sorghum	2001-07-12	22.07          	32.72          	27.40          	5.108          	0.73           
SS_sorghum	2001-07-13	22.27          	30.71          	26.49          	5.127          	1.19           
SS_sorghum	2001-07-14	20.96          	29.25          	25.11          	3.794          	40.54          
SS_sorghum	2001-07-15	21.60          	30.05          	25.83          	3.868          	1.23           
SS_sorghum	2001-07-16	21.61          	31.24          	26.42          	3.963          	1.13           
SS_sorghum	2001-07-17	21.22          	32.26          	26.74          	3.280          	0.00           
SS_sorghum	2001-07-18	21.96          	30.51          	26.23          	3.082          	0.30           
SS_sorghum	2001-07-19	20.86          	32.20          	26.53          	5.589          	0.00           
SS_sorghum	2001-07-20	20.35          	31.61          	25.98          	3.805          	2.72           
SS_sorghum	2001-07-21	21.68          	30.16          	25.92          	4.334          	3.84           
SS_sorghum	2001-07-22	20.79          	31.45          	26.12          	5.118          	5.86           
SS_sorghum	2001-07-23	19.57          	30.32          	24.95          	3.857          	12.30          
SS_sorghum	2001-07-24	20.44          	29.00          	24.72          	4.117          	4.41           
SS_sorghum	2001-07-25	19.88          	30.69          	25.29          	2.548          	8.70           
SS_sorghum	2001-07-26	21.15          	29.38          	25.27          	4.115          	2.57           
SS_sorghum	2001-07-27	20.42          	30.35          	25.39          	3.459          	3.97           
SS_sorghum	2001-07-28	20.14          	31.61          	25.88          	3.989          	1.81           
SS_sorghum	2001-07-29	20.86          	29.11          	24.98          	3.418          	7.07           
SS_sorghum	2001-07-30	20.89          	29.18          	25.04          	3.983          	2.38           
SS_sorghum	2001-07-31	20.16          	31.72          	25.94          	4.996          	1.65           
SS_sorghum	2001-08-01	19.91          	31.27          	25.59          	4.161          	3.83           
SS_sorghum	2001-08-02	20.40          	30.20          	25.30          	3.320          	4.91           
SS_sorghum	2001-08-03	20.15          	27.41          	23.78          	3.333          	4.84           
SS_sorghum	2001-08-04	19.72          	32.35          	26.04          	4.864          	0.87           
SS_sorghum	2001-08-05	20.66          	32.24          	26.45          	5.133          	6.75           
SS_sorghum	2001-08-06	21.11          	30.33          	25.72          	4.117          	23.87          
SS_sorghum	2001-08-07	21.01          	26.31          	23.66          	2.520          	0.73           
SS_sorghum	2001-08-08	19.80          	31.50          	25.65          	4.947          	1.60           
SS_sorghum	2001-08-09	20.67          	31.31          	25.99          	4.448          	4.11           
SS_sorghum	2001-08-10	21.19          	29.00          	25.09          	3.848          	17.96          
SS_sorghum	2001-08-11	20.49          	30.53          	25.51          	4.193          	7.23           
SS_sorghum	2001-08-12	21.31          	30.79          	26.05          	4.684          	4.31           
SS_sorghum	2001-08-13	21.23          	31.10          	26.16          	4.804          	1.83           
SS_sorghum	2001-08-14	20.95          	28.80          	24.88          	4.124          	6.80           
SS_sorghum	2001-08-15	21.89          	30.04          	25.97          	4.113          	13.22          
SS_sorghum	2001-08-16	20.73          	30.49          	25.61          	4.229          	8.60           
SS_sorghum	2001-08-17	21.48          	28.52          	25.00          	3.444          	27.72          
SS_sorghum	2001-08-18	21.03          	26.19          	23.61          	4.201          	3.61           
SS_sorghum	2001-08-19	19.91          	30.43          	25.17          	4.542          	0.64           
SS_sorghum	2001-08-20	20.58          	31.62          	26.10          	5.076          	0.38           
SS_sorghum	2001-08-21	21.91          	31.05          	26.48          	4.681          	2.75           
SS_sorghum	2001-08-22	20.95          	26.53          	23.74          	2.363          	3.35           
SS_sorghum	2001-08-23	20.12          	29.80          	24.96          	2.726          	0.53           
SS_sorghum	2001-08-24	20.87          	30.94          	25.91          	4.686          	0.57           
SS_sorghum	2001-08-25	20.90          	31.82          	26.36          	4.546          	2.32           
SS_sorghum	2001-08-26	20.79          	32.04          	26.41          	4.866          	0.65           
SS_sorghum	2001-08-27	21.22          	30.90          	26.06          	4.620          	0.27           
SS_sorghum	2001-08-28	21.45          	31.04          	26.24          	5.020          	0.59           
SS_sorghum	2001-08-29	21.52          	32.56          	27.04          	4.499          	4.55           
SS_sorghum	2001-08-30	20.73          	30.55          	25.64          	4.735          	3.61           
SS_sorghum	2001-08-31	20.77          	29.97          	25.37          	4.718          	3.99           
SS_sorghum	2001-09-01	20.63          	30.99          	25.81          	4.118          	5.15           
SS_sorghum	2001-09-02	21.45          	30.12          	25.79          	3.703          	6.11           
SS_sorghum	2001-09-03	20.32          	31.82          	26.07          	4.680          	1.09           
SS_sorghum	2001-09-04	20.09          	31.56          	25.82          	5.093          	1.99           
SS_sorghum	2001-09-05	20.05          	31.88          	25.97          	4.966          	5.45           
SS_sorghum	2001-09-06	20.95          	32.98          	26.96          	5.628          	0.81           
SS_sorghum	2001-09-07	21.78          	32.58          	27.18          	4.095          	1.69           
SS_sorghum	2001-09-08	21.27          	34.11          	27.69          	5.405          	0.36           
SS_sorghum	2001-09-09	21.98          	31.82          	26.90          	4.727          	2.38           
SS_sorghum	2001-09-10	20.54          	33.35          	26.95          	4.848          	0.66           
SS_sorghum	2001-09-11	21.82          	31.14          	26.48          	3.912          	0.00           
SS_sorghum	2001-09-12	22.00          	32.67          	27.34          	4.455          	0.65           
SS_sorghum	2001-09-13	20.55          	31.68          	26.12          	4.965          	9.24           
SS_sorghum	2001-09-14	22.06          	34.40          	28.23          	5.437          	0.00           
SS_sorghum	2001-09-15	21.20          	34.73          	27.96          	3.852          	0.00           
SS_sorghum	2001-09-16	21.59          	34.84          	28.22          	5.565          	0.44           
SS_sorghum	2001-09-17	21.92          	31.46          	26.69          	4.044          	1.52           
SS_sorghum	2001-09-18	21.05          	30.79          	25.92          	3.466          	10.25          
SS_sorghum	2001-09-19	20.85          	32.18          	26.52          	5.302          	2.63           
SS_sorghum	2001-09-20	21.44          	33.47          	27.45          	5.171          	1.35           
SS_sorghum	2001-09-21	21.48          	33.81          	27.65          	5.047          	15.02          
SS_sorghum	2001-09-22	22.38          	31.22          	26.80          	5.277          	7.40           
SS_sorghum	2001-09-23	20.69          	29.36          	25.02          	4.154          	3.32           
SS_sorghum	2001-09-24	19.81          	32.46          	26.13          	4.624          	9.84           
SS_sorghum	2001-09-25	21.58          	30.71          	26.15          	4.337          	2.12           
SS_sorghum	2001-09-26	21.58          	31.14          	26.36          	5.619          	9.35           
SS_sorghum	2001-09-27	20.99          	29.36          	25.17          	3.860          	9.24           
SS_sorghum	2001-09-28	20.56          	31.31          	25.93          	4.773          	0.27           
SS_sorghum	2001-09-29	20.88          	31.39          	26.13          	3.911          	7.02           
SS_sorghum	2001-09-30	21.19          	29.49          	25.34          	3.249          	3.92           
SS_sorghum	2001-10-01	21.15          	31.78          	26.47          	4.621          	0.62           
SS_sorghum	2001-10-02	21.39          	32.03          	26.71          	4.936          	1.32           
SS_sorghum	2001-10-03	21.47          	30.08          	25.77          	2.853          	7.51           
SS_sorghum	2001-10-04	20.01          	31.36          	25.69          	4.372          	17.33          
SS_sorghum	2001-10-05	20.55          	30.67          	25.61          	4.759          	20.40          
SS_sorghum	2001-10-06	20.69          	30.71          	25.70          	4.469          	4.79           
SS_sorghum	2001-10-07	21.35          	30.22          	25.79          	3.854          	0.48           
SS_sorghum	2001-10-08	20.94          	30.34          	25.64          	4.063          	2.95           
SS_sorghum	2001-10-09	21.02          	29.95          	25.48          	4.849          	0.81           
SS_sorghum	2001-10-10	21.17          	31.07          	26.12          	3.543          	0.45           
SS_sorghum	2001-10-11	20.95          	32.03          	26.49          	4.795          	2.50           
SS_sorghum	2001-10-12	21.22          	32.11          	26.66          	4.806          	17.97          
SS_sorghum	2001-10-13	21.19          	31.49          	26.34          	4.688          	1.07           
SS_sorghum	2001-10-14	22.18          	31.78          	26.98          	4.537          	1.74           
SS_sorghum	2001-10-15	21.73          	31.06          	26.40          	3.199          	5.00           
SS_sorghum	2001-10-16	22.30          	32.68          	27.49          	5.728          	2.02           
SS_sorghum	2001-10-17	21.42          	33.13          	27.28          	5.728          	0.79           
SS_sorghum	2001-10-18	20.19          	34.39          	27.29          	5.116          	0.72           
SS_sorghum	2001-10-19	21.02          	34.89          	27.95          	4.446          	0.45           
SS_sorghum	2001-10-20	21.22          	35.22          	28.22          	5.631          	0.00           
SS_sorghum	2001-10-21	22.09          	35.39          	28.74          	6.752          	0.32           
SS_sorghum	2001-10-22	21.75          	35.40          	28.57          	6.361          	0.00           
SS_sorghum	2001-10-23	22.46          	34.82          	28.64          	5.449          	1.31           
SS_sorghum	2001-10-24	23.58          	32.69          	28.13          	2.441          	4.54           
SS_sorghum	2001-10-25	22.88          	31.97          	27.42          	3.049          	7.21           
SS_sorghum	2001-10-26	21.80          	29.78          	25.79          	3.070          	6.70           
SS_sorghum	2001-10-27	21.81          	32.99          	27.40          	4.801          	1.39           
SS_sorghum	2001-10-28	22.06          	28.47          	25.27          	3.826          	11.92          
SS_sorghum	2001-10-29	21.97          	29.85          	25.91          	2.965          	4.15           
SS_sorghum	2001-10-30	20.70          	31.65          	26.17          	4.005          	3.24           
SS_sorghum	2001-10-31	20.97          	31.44          	26.20          	3.783          	13.18          
SS_sorghum	2001-11-01	20.66          	31.37          	26.02          	4.836          	9.34           
SS_sorghum	2001-11-02	21.84          	31.24          	26.54          	5.103          	0.33           
SS_sorghum	2001-11-03	21.22          	32.48          	26.85          	5.167          	0.34           
SS_sorghum	2001-11-04	21.72          	33.37          	27.54          	5.037          	3.58           
SS_sorghum	2001-11-05	21.31          	32.94          	27.13          	5.495          	1.66           
SS_sorghum	2001-11-06	21.13          	33.59          	27.36          	6.087          	1.97           
SS_sorghum	2001-11-07	20.65          	34.21          	27.43          	5.180          	2.30           
SS_sorghum	2001-11-08	21.85          	34.29          	28.07          	4.853          	2.43           
SS_sorghum	2001-11-09	22.09          	29.93          	26.01          	3.994          	0.40           
SS_sorghum	2001-11-10	22.36          	31.28          	26.82          	4.213          	5.13           
SS_sorghum	2001-11-11	21.14          	33.62          	27.38          	4.424          	0.67           
SS_sorghum	2001-11-12	21.64          	34.48          	28.06          	5.126          	1.13           
SS_sorghum	2001-11-13	22.19          	31.63          	26.91          	4.370          	4.41           
SS_sorghum	2001-11-14	21.22          	30.66          	25.94          	3.931          	2.64           
SS_sorghum	2001-11-15	21.24          	30.50          	25.87          	2.630          	2.89           
SS_sorghum	2001-11-16	22.15          	32.27          	27.21          	4.824          	2.68           
SS_sorghum	2001-11-17	21.32          	34.35          	27.84          	4.938          	0.71           
SS_sorghum	2001-11-18	21.36          	33.04          	27.20          	4.528          	14.10          
SS_sorghum	2001-11-19	23.26          	32.61          	27.94          	4.299          	2.00           
SS_sorghum	2001-11-20	21.77          	32.51          	27.14          	5.570          	0.72           
SS_sorghum	2001-11-21	21.50          	29.02          	25.26          	3.053          	18.84          
SS_sorghum	2001-11-22	20.78          	28.63          	24.70          	3.400          	1.17           
SS_sorghum	2001-11-23	21.31          	32.06          	26.69          	4.797          	0.00           
SS_sorghum	2001-11-24	20.02          	33.54          	26.78          	5.943          	0.00           
SS_sorghum	2001-11-25	19.42          	34.14          	26.78          	6.218          	0.00           
SS_sorghum	2001-11-26	20.69          	34.29          	27.49          	6.301          	0.00           
SS_sorghum	2001-11-27	20.74          	35.31          	28.02          	6.543          	0.00           
SS_sorghum	2001-11-28	20.71          	35.83          	28.27          	6.650          	0.00           
SS_sorghum	2001-11-29	20.93          	35.77          	28.35          	6.424          	0.00           
SS_sorghum	2001-11-30	22.16          	35.86          	29.01          	6.317          	0.00           
SS_sorghum	2001-12-01	22.09          	35.68          	28.88          	5.977          	0.00           
SS_sorghum	2001-12-02	21.64          	35.45          	28.55          	6.074          	0.59           
SS_sorghum	2001-12-03	22.82          	35.37          	29.09          	6.158          	2.65           
SS_sorghum	2001-12-04	21.43          	34.96          	28.20          	6.497          	1.51           
SS_sorghum	2001-12-05	20.63          	35.19          	27.91          	6.294          	0.00           
SS_sorghum	2001-12-06	20.92          	33.88          	27.40          	6.401          	0.54           
SS_sorghum	2001-12-07	20.67          	34.39          	27.53          	6.368          	0.00           
SS_sorghum	2001-12-08	20.03          	34.35          	27.19          	6.937          	0.00           
SS_sorghum	2001-12-09	21.58          	29.01          	25.30          	4.715          	0.00           
SS_sorghum	2001-12-10	19.93          	35.35          	27.64          	6.325          	0.46           
SS_sorghum	2001-12-11	20.42          	36.28          	28.35          	6.536          	0.00           
SS_sorghum	2001-12-12	21.68          	36.44          	29.06          	6.018          	1.09           
SS_sorghum	2001-12-13	22.65          	29.82          	26.23          	4.652          	0.58           
